accountid,doc_number,po_number,id,actual_trans_ts,ea_abbrev,qty,item_code,description,containerid,Day,actual_weight,ea_width,ea_height,ea_depth,var0,cntrl,service_class_id
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,15EL3E56SIL,Element Silver Dollar,170-20207,1,60.59,56,0,0,PCIU8473967,C000001085170,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,90SY5B57WAY,SYNTHESIS WAYWARD,170-20216,1,37.73,0,0,0,PCIU8473967,C000001085793,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,15GL3D58NUT,GLEE NUTMEG,170-20208,1,37.18,58,0,0,PCIU8473967,C000001085207,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,15GL3D58NUT,GLEE NUTMEG,170-20208,1,51.4,58,0,0,PCIU8473967,C000001085202,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,15GL3D58NUT,GLEE NUTMEG,170-20208,1,44.4,58,0,0,PCIU8473967,C000001085200,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,15GL3D58NUT,GLEE NUTMEG,170-20208,1,48.56,58,0,0,PCIU8473967,C000001085203,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,90SY5B57WAY,SYNTHESIS WAYWARD,170-20216,1,37.95,0,0,0,PCIU8473967,C000001085794,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,15GL3D58NUT,GLEE NUTMEG,170-20208,1,45.93,58,0,0,PCIU8473967,C000001085197,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,20AF3F57TEA,AFFECTION TEAROSE,170-20209,1,44.51,57,0,0,PCIU8473967,C000001085252,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,75CN3E55VAP,CANDID VAPOR,170-20209,1,45.93,0,0,0,PCIU8473967,C000001085757,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,75CN3E55CLO,CANDID CLOVER,170-20209,1,53.91,0,0,0,PCIU8473967,C000001085722,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,15EL3E56SAN,ELEMENT SANDSTORM,170-20217,1,48.77,0,0,0,PCIU8473967,C000001085211,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,75LO3C58PAL,LOOP PALLADIUM,170-20209,1,56.43,0,0,0,PCIU8473967,C000001085727,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,15EL3E56SAN,ELEMENT SANDSTORM,170-20217,1,49.87,0,0,0,PCIU8473967,C000001085228,4
